Date,J
2024-07-09,113.9849624633789
2024-07-10,115.76441192626953
2024-07-11,117.88638305664062
2024-07-12,120.24227142333984
2024-07-15,120.88554382324219
2024-07-16,125.9314956665039
2024-07-17,124.93733978271484
2024-07-18,124.26900482177734
2024-07-19,123.55054473876953
2024-07-22,124.84544372558594
2024-07-23,126.38262176513672
2024-07-24,119.40685272216797
2024-07-25,121.70426177978516
2024-07-26,121.95488739013672
2024-07-29,121.80451202392578
2024-07-30,122.13032531738281
2024-07-31,122.26399230957031
2024-08-01,120.93567657470703
2024-08-02,118.83040618896484
2024-08-05,117.06767272949219
2024-08-06,117.53550720214844
2024-08-07,116.47451782226562
2024-08-08,118.84711456298828
2024-08-09,119.88304138183594
2024-08-12,119.87468719482422
2024-08-13,120.34252166748047
2024-08-14,121.12782287597656
2024-08-15,122.49790954589844
2024-08-16,122.73182678222656
2024-08-19,123.68421173095703
2024-08-20,123.19131469726562
2024-08-21,124.01002502441406
2024-08-22,124.160400390625
2024-08-23,124.47785949707031
2024-08-26,125.3467025756836
2024-08-27,125.29657745361328
2024-08-28,124.84544372558594
2024-08-29,125.31328582763672
2024-08-30,126.04845428466797
2024-09-03,122.93232727050781
2024-09-04,122.66499328613281
2024-09-05,120.25062561035156
2024-09-06,118.55471801757812
2024-09-09,120.75187683105469
2024-09-10,119.58229064941406
2024-09-11,118.57978057861328
2024-09-12,119.04762268066406
2024-09-13,120.267333984375
2024-09-16,120.96073150634766
2024-09-17,121.08604431152344
2024-09-18,121.5873031616211
2024-09-19,124.86215209960938
2024-09-20,124.17710876464844
2024-09-23,123.91812896728516
2024-09-24,125.69757843017578
2024-09-25,128.7218017578125
2024-09-26,129.16458129882812
2024-09-27,129.93316650390625
2024-09-30,130.89999389648438
2024-10-01,132.07000732421875
2024-10-02,135.0800018310547
2024-10-03,138.91000366210938
2024-10-04,140.0399932861328
2024-10-07,137.97000122070312
2024-10-08,137.35000610351562
2024-10-09,137.27999877929688
2024-10-10,136.75999450683594
2024-10-11,138.4600067138672
2024-10-14,139.3300018310547
2024-10-15,138.33999633789062
2024-10-16,141.22999572753906
2024-10-17,143.10000610351562
2024-10-18,143.89999389648438
2024-10-21,143.5399932861328
2024-10-22,141.75
2024-10-23,141.3800048828125
2024-10-24,141.75
2024-10-25,140.52000427246094
2024-10-28,141.1999969482422
2024-10-29,142.8300018310547
2024-10-30,141.39999389648438
2024-10-31,140.5800018310547
2024-11-01,139.6199951171875
2024-11-04,139.83999633789062
2024-11-05,141.69000244140625
2024-11-06,147.6199951171875
2024-11-07,144.85000610351562
2024-11-08,146.42999267578125
2024-11-11,146.8800048828125
2024-11-12,147.11000061035156
2024-11-13,149.25
2024-11-14,140.61000061035156
2024-11-15,140.00999450683594
2024-11-18,140.35000610351562
2024-11-19,133.52000427246094
2024-11-20,132.5
2024-11-21,135.42999267578125
